user_id,group,month,active,churn,monthly_revenue,converted,upgraded,downgraded
user_0,Standard,1,1,0,17.99,1,0,1
user_1,Standard,1,1,0,17.99,0,0,0
user_2,Standard,1,1,0,17.99,1,0,0
user_3,Standard,1,1,0,17.99,1,0,0
user_4,Standard,1,1,0,17.99,1,0,0
user_5,Standard,1,1,0,17.99,1,0,1
user_6,Standard,1,1,0,17.99,0,0,0
user_7,Standard,1,1,0,17.99,1,0,0
user_8,Standard,1,1,0,17.99,1,0,0
user_9,Standard,1,1,0,17.99,1,0,0
user_10,Standard,1,1,0,17.99,1,0,0
user_11,Standard,1,1,0,17.99,1,0,0
user_12,Standard,1,1,0,17.99,1,0,0
user_13,Standard,1,1,0,17.99,1,0,0
user_14,Standard,1,1,0,17.99,1,0,0
user_15,Standard,1,1,0,17.99,1,0,0
user_16,Standard,1,1,0,17.99,1,0,0
user_17,Standard,1,1,0,17.99,0,0,0
user_18,Standard,1,1,0,17.99,1,0,0
user_19,Standard,1,1,0,17.99,0,0,0
user_20,Standard,1,1,0,17.99,1,0,0
user_21,Standard,1,1,0,17.99,1,0,0
user_22,Standard,1,1,0,17.99,1,0,0
user_23,Standard,1,1,0,17.99,1,0,0
user_24,Standard,1,1,0,17.99,1,0,0
user_25,Standard,1,1,0,17.99,0,0,0
user_26,Standard,1,1,0,17.99,0,0,0
user_27,Standard,1,1,0,17.99,1,0,0
user_28,Standard,1,1,0,17.99,1,0,0
user_29,Standard,1,1,0,17.99,1,0,0
user_30,Standard,1,1,0,17.99,1,0,0
user_31,Standard,1,1,0,17.99,0,0,0
user_32,Standard,1,1,0,17.99,1,0,0
user_33,Standard,1,1,0,17.99,1,0,0
user_34,Standard,1,1,0,17.99,1,0,1
user_35,Standard,1,1,0,17.99,0,0,0
user_36,Standard,1,1,0,17.99,1,0,0
user_37,Standard,1,1,0,17.99,0,0,0
user_38,Standard,1,1,0,17.99,0,0,0
user_39,Standard,1,1,0,17.99,1,0,0
user_40,Standard,1,1,0,17.99,0,0,0
user_41,Standard,1,1,0,17.99,1,0,0
user_42,Standard,1,1,0,17.99,1,0,0
user_43,Standard,1,1,0,17.99,0,0,0
user_44,Standard,1,1,0,17.99,0,0,0
user_45,Standard,1,1,0,17.99,1,0,0
user_46,Standard,1,1,0,17.99,0,0,0
user_47,Standard,1,1,0,17.99,0,0,0
user_48,Standard,1,1,0,17.99,1,0,0
user_49,Standard,1,1,0,17.99,1,0,0
user_50,Standard,1,1,0,17.99,1,0,0
user_51,Standard,1,1,0,17.99,1,0,0
user_52,Standard,1,1,0,17.99,0,0,0
user_53,Standard,1,1,0,17.99,1,0,0
user_54,Standard,1,1,0,17.99,1,0,0
user_55,Standard,1,1,0,17.99,1,0,0
user_56,Standard,1,1,0,17.99,0,0,0
user_57,Standard,1,1,0,17.99,1,0,0
user_58,Standard,1,1,0,17.99,0,0,0
user_59,Standard,1,1,0,17.99,0,0,0
user_60,Standard,1,1,0,17.99,0,0,0
user_61,Standard,1,1,0,17.99,1,0,0
user_62,Standard,1,1,0,17.99,1,0,0
user_63,Standard,1,1,0,17.99,0,0,0
user_64,Standard,1,1,0,17.99,1,0,0
user_65,Standard,1,1,0,17.99,1,0,0
user_66,Standard,1,1,0,17.99,1,0,0
user_67,Standard,1,1,0,17.99,0,0,0
user_68,Standard,1,1,0,17.99,1,0,0
user_69,Standard,1,1,0,17.99,1,0,1
user_70,Standard,1,1,0,17.99,0,0,0
user_71,Standard,1,1,0,17.99,1,0,0
user_72,Standard,1,1,0,17.99,1,0,0
user_73,Standard,1,1,0,17.99,1,0,0
user_74,Standard,1,1,0,17.99,1,0,0
user_75,Standard,1,1,0,17.99,0,0,0
user_76,Standard,1,1,0,17.99,1,0,0
user_77,Standard,1,1,0,17.99,0,0,0
user_78,Standard,1,1,0,17.99,0,0,0
user_79,Standard,1,1,0,17.99,1,0,0
user_80,Standard,1,1,0,17.99,1,0,0
user_81,Standard,1,1,0,17.99,1,0,0
user_82,Standard,1,1,0,17.99,1,0,0
user_83,Standard,1,1,0,17.99,1,0,0
user_84,Standard,1,1,0,17.99,1,0,0
user_85,Standard,1,1,0,17.99,0,0,0
user_86,Standard,1,1,0,17.99,1,0,0
user_87,Standard,1,1,0,17.99,1,0,0
user_88,Standard,1,1,0,17.99,0,0,0
user_89,Standard,1,1,0,17.99,0,0,0
